,Employee ID,Age,Gender,Department,Job Satisfaction,Stress Level,Annual Salary,Overtime Hours/Month,Manager Rating,Promotion in Last 5 Years,Date Hired,Parent Education Level,Favorite Activity,Job Description
1,E00001,56,female,Marketing,7,1,91K(est.),41,2,Yes,1997/04,SLEtQEzfaxN,Playing Sports,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
2,E00002,36,Male,Sales,2,8,48K(est.),47,2,Yes,2004/04,High School,Traveling,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
3,E00003,34,F,Finance,10,10,57K(est.),44,3,-1,2005/11,PhD,Playing Sports,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
4,E00004,34,Female,Marketing,1,,47K(est.),4,1,Yes,1996/08,aqQpYeI,Playing Sports,"Oversees supply chain, logistics, and production efficiency. Skills: Logistics Management, ERP Systems, Process Improvement, Leadership."
5,E00005,32,Male,Operations,5,2,77K(est.),26,2,No,1991/06,Graduate,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
6,E00006,28,male,Operations,9,5,62K(est.),18,4,-1,2014/01,College,Cooking,"Handles budgeting, financial planning, and reporting. Skills: Excel, Financial Modeling, Accounting Software, Analytical Thinking."
7,E00007,28,F,HR,6,5,73K(est.),20,5,No,1995/06,PhD,Reading,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
8,E00008,49,male,HR,2,4,90K(est.),46,3,Yes,2012/02,High School,Cooking,"Ensures smooth operation of IT systems, handles troubleshooting and maintenance. Skills: Networking, System Administration, Python, Security Protocols."
9,E00009,62,male,Finance,2,8,67K(est.),48,1,No,1996/02,High School,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
10,E00010,38,Female,IT,1,3,54K(est.),27,4,Yes,2022/02,High School,Playing Sports,"Develops campaigns, manages branding, and analyzes market trends. Skills: SEO, Social Media Management, Data Analysis, Creativity."
11,E00011,52,male,Finance,9,10,101K(est.),45,5,-1,1999/03,College,Hiking,"Responsible for recruitment, onboarding, employee relations, and compliance. Skills: Communication, Conflict Resolution, HRIS, Microsoft Office."
